"Territory Name","Parent Territory","Is Group","Territory Manager","old_parent","ID (Targets)","Fiscal Year (Targets)","Item Group (Targets)","Target  Amount (Targets)","Target Distribution (Targets)","Target Qty (Targets)"
"All Territories","",1,"","","","","","","",""
"India","All Territories",0,"","All Territories","","","","","",""
"Jaipur","All Territories",0,"","All Territories","","","","","",""
"Kota","All Territories",0,"","All Territories","","","","","",""
"Alwar","All Territories",0,"","All Territories","","","","","",""
"Jodhpur","All Territories",0,"","All Territories","","","","","",""
"Chomu","All Territories",0,"","All Territories","","","","","",""
"Bharatpur","All Territories",0,"","All Territories","","","","","",""
"Narayanpur","All Territories",0,"","All Territories","","","","","",""
"Beawar","All Territories",0,"","All Territories","","","","","",""
"Dudu","All Territories",0,"","All Territories","","","","","",""
"Merta City","All Territories",0,"","All Territories","","","","","",""
"Nagaur","All Territories",0,"","All Territories","","","","","",""
"Ajmer","All Territories",0,"","All Territories","","","","","",""
"Bagru","All Territories",0,"","All Territories","","","","","",""
"Kuchaman","All Territories",0,"","All Territories","","","","","",""
"Neem Ka Thana","All Territories",0,"","All Territories","","","","","",""
"Sandarsar","All Territories",0,"","All Territories","","","","","",""
"Kaladera","All Territories",0,"","All Territories","","","","","",""
"Rajasthan","All Territories",0,"","All Territories","","","","","",""
