Item Groups,Item Code,Item Name,HSN/SAC,UOM,Valuation Rate,Applicable GST (%)
Panel,ADA-540-D,Adani Mono bifacial 540 DCR,85414300,watt,25,5%
Panel,ADA-545-D,Adani Mono bifacial 545 DCR,85414300,watt,25,5%
Panel,ADA-550-D,Adani Mono bifacial 550 DCR,85414300,watt,25,5%
Panel,ADA-555-D,Adani Mono bifacial 550 DCR,85414300,watt,25,5%
Panel,ADA-570-D,Adani bifacial topcon570 DCR,85414300,watt,26,5%
Panel,ADA-575-D,Adani bifacial topcon 575 DCR,85414300,watt,26,5%
Panel,ADA-580-D,Adani bifacial topcon 580 DCR,85414300,watt,26,5%
Panel,ADA-605-D,Adani bifacial topcon 605 DCR,85414300,watt,27,5%
Panel,ADA-610-D,Adani bifacial topcon 610 DCR,85414300,watt,27,5%
Panel,ADA-615-D,Adani bifacial topcon 615 DCR,85414300,watt,27,5%
Panel,ADA-620-D,Adani bifacial topcon 620 DCR,85414300,watt,27,5%
Panel,ADA-540-N,Adani Mono bifacial 540 NDCR,85414300,watt,14,5%
Panel,ADA-545-N,Adani Mono bifacial 545 NDCR,85414300,watt,14,5%
Panel,ADA-550-N,Adani Mono bifacial 550 NDCR,85414300,watt,14,5%
Panel,ADA-555-N,Adani Mono bifacial 555 NDCR,85414300,watt,14,5%
Panel,ADA-570-N,Adani bifacial topcon 570 NDCR,85414300,watt,16,5%
Panel,ADA-575-N,Adani bifacial topcon 575 NDCR,85414300,watt,16,5%
Panel,ADA-580-N,Adani bifacial topcon 580 NDCR,85414300,watt,16,5%
Panel,ADA-605-N,Adani bifacial topcon 605 NDCR,85414300,watt,16,5%
Panel,ADA-610-N,Adani bifacial topcon 610 NDCR,85414300,watt,16,5%
Panel,ADA-615-N,Adani bifacial topcon 615 NDCR,85414300,watt,16,5%
Panel,ADA-620-N,Adani bifacial topcon 620 NDCR,85414300,watt,16,5%
Panel,PME-540-D,Premier Energy bifacial 540 DCR,85414300,watt,24,5%
Panel,PME-600-D,Premier Energy topcon 600 DCR,85414300,watt,25,5%
Panel,PME-545-N,Premier Energy bifacial 545 NDCR,85414300,watt,14,5%
Panel,PME-550-N,Premier Energy bifacial 550 NDCR,85414300,watt,14,5%
Panel,PME-610-N,Premier Energy topcon 610 NDCR,85414300,watt,15,5%
Panel,LMS-550-D,Luminous pv byfacial 550 DCR,85414300,watt,24.5,5%
Panel,LMS-585-N,Luminous pv topcon 585 NDCR,85414300,watt,15,5%
Panel,LMS-590-N,Luminous pv topcon 590 NDCR,85414300,watt,15,5%
Panel,WRE-540-D,Waaree mono bifacial 540 DCR,85414300,watt,24.5,5%
Panel,WRE-545-D,Waaree mono bifacial 545 DCR,85414300,watt,24.5,5%
Panel,WRE-560-D,Waaree bifacial topcon 560 DCR,85414300,watt,26,5%
Panel,WRE-570-D,Waaree bifacial topcon 570 DCR,85414300,watt,26,5%
Panel,WRE-575-D,Waaree bifacial topcon 575 DCR,85414300,watt,26,5%
Panel,WRE-580-D,Waaree bifacial topcon 580 DCR,85414300,watt,26,5%
Panel,WRE-550-N,Waaree mono bifacial 550 NDCR,85414300,watt,15,5%
Panel,WRE-700-N,Waaree bifacial topcon 700 NDCR,85414300,watt,18,5%
Panel,WRE-590-N,Waaree bifacial topcon 590 NDCR,85414300,watt,18,5%
Panel,INA-500-D,Ina mono bifacial 500 DCR,85414300,watt,23,5%
Panel,INA-545-D,Ina mono bifacial 545 DCR,85414300,watt,23,5%
Panel,INA-540-D,Ina mono bifacial 540 DCR,85414300,watt,23,5%
Panel,INA-535-D,Ina mono bifacial 535 DCR,85414300,watt,23,5%
Panel,INA-550-D,Ina mono bifacial 550 DCR,85414300,watt,23,5%
Panel,INA-560-D,Ina bifacial topcon 560 DCR,85414300,watt,24,5%
Panel,INA-570-D,Ina bifacial topcon 570 DCR,85414300,watt,24,5%
Panel,INA-540-N,Ina mono bifacial 540 NDCR,85414300,watt,13,5%
Panel,INA-335-N,Ina mono bifacial 335 NDCR,85414300,watt,16,5%
Panel,INA-555-N,Ina bifacial topcon 555 NDCR,85414300,watt,14,5%
Panel,INA-590-N,Ina bifacial topcon 590 NDCR,85414300,watt,14,5%
Inverter,PONE-2-SP,Power one GTI 2 Kw 1p,85044090,Unit,13800,5%
Inverter,PONE-3-SP,Power one GTI 3 Kw 1p,85044090,Unit,14000,5%
Inverter,PONE-3.3-SP,Power one GTI 3.3Kw 1p,85044090,Unit,14000,5%
Inverter,PONE-4-SP,Power one GTI 4 Kw 1p,85044090,Unit,19000,5%
Inverter,PONE-5-SP,Power one GTI 5 Kw 1p,85044090,Unit,22500,5%
Inverter,PONE-6-SP,Power one GTI 6 Kw 1p,85044090,Unit,25000,5%
Inverter,PONE-5-TP,Power one GTI 5 Kw Tp,85044090,Unit,39000,5%
Inverter,PONE-6-TP,Power one GTI 6 Kw Tp,85044090,Unit,40000,5%
Inverter,PONE-8-TP,Power one GTI 8 Kw Tp,85044090,Unit,42000,5%
Inverter,PONE-10-TP,Power one GTI 10 Kw Tp,85044090,Unit,43500,5%
Inverter,PONE-12-TP,Power one GTI 12 Kw Tp,85044090,Unit,47000,5%
Inverter,PONE-15-TP,Power one GTI 15 Kw Tp,85044090,Unit,53000,5%
Inverter,PONE-20-TP,Power one GTI 20 Kw Tp,85044090,Unit,61000,5%
Inverter,PONE-25-TP,Power one GTI 25 Kw Tp,85044090,Unit,69000,5%
Inverter,PONE-30-TP,Power one GTI 30 Kw Tp,85044090,Unit,90000,5%
Inverter,PONE-40-TP,Power one GTI 40 Kw Tp,85044090,Unit,122000,5%
Inverter,PONE-50-TP,Power one GTI 50 Kw Tp,85044090,Unit,132000,5%
Inverter,PONE-60-TP,Power one GTI 60 Kw Tp,85044090,Unit,143000,5%
Inverter,PONE-80-TP,Power one GTI 80 Kw Tp,85044090,Unit,185000,5%
Inverter,PONE-100-TP,Power one GTI 100 Kw Tp,85044090,Unit,225000,5%
Inverter,PONE-110-TP,Power one GTI 110 Kw Tp,85044090,Unit,235000,5%
Inverter,PONE-125-TP,Power one GTI 125 Kw Tp,85044090,Unit,270000,5%
Inverter,PONE-136-TP,Power one GTI 136 Kw Tp,85044090,Unit,290000,5%
Inverter,PONE-350-TP,Power one GTI 350 Kw Tp,85044090,Unit,450000,5%
Inverter,LMS-3-SP,Luminious GTI 3 KW SP,85044090,Unit,17000,5%
Inverter,LMS-4-SP,Luminious GTI 4 KW SP,85044090,Unit,27000,5%
Inverter,LMS-5-SP,Luminious GTI 5 KW SP,85044090,Unit,29000,5%
Inverter,LMS-5-TP,Luminious GTI 5 KW TP,85044090,Unit,43500,5%
Inverter,LMS-6-TP,Luminious GTI 6 KW TP,85044090,Unit,48500,5%
Inverter,LMS-8-TP,Luminious GTI 8 KW TP,85044090,Unit,54500,5%
Inverter,LMS-10-TP,Luminious GTI 10 KW TP,85044090,Unit,56000,5%
Inverter,LMS-12-TP,Luminious GTI 12 KW TP,85044090,Unit,60000,5%
Inverter,LMS-15-TP,Luminious GTI 15 KW TP,85044090,Unit,63000,5%
Inverter,LMS-20-TP,Luminious GTI 20 KW TP,85044090,Unit,75000,5%
Inverter,LMS-25-TP,Luminious GTI 25 KW TP,85044090,Unit,92000,5%
Inverter,LMS-30-TP,Luminious GTI 30 KW TP,85044090,Unit,105000,5%
